titulo,autor(es),editora,descrição
Enders,Lissa Price,Novo Conceito,"Depois que a Prime Destinations foi demolida, Callie pensou que teria paz para viver ao lado do irmão, Tyler, e do amigo, Michael. O banco de corpos foi destruído para sempre, e Callie nunca mais terá de alugar-se para os abomináveis Enders. No entanto, ela e Michael têm o chip implantado no cérebro e podem ser controlados. Além disso, o Velho ainda se comunica com Callie. 
 

O pesadelo não terminou. Agora, Callie procura uma maneira de remover o chip – isso pode custar sua vida, mas vai silenciar a voz que fala em sua mente. Se continuar sob o domínio dos Enders, Callie estará constantemente sujeita a fazer o que não quer, inclusive contra as pessoas que mais ama. Callie tem pouco tempo. Obstinada por descobrir quem é de fato o Velho e desejando, mais que tudo, uma vida normal para si e para o irmão, ela vai lutar pela verdade. Custe o que custar.
"
Eldest,Christopher Paolini,Rocco,"Eldest acompanha o amadurecimento do jovem guerreiro protagonista da história e mostra também o crescimento de Christopher Paolini como escritor. Agora com 20 anos, o jovem autor utiliza técnicas narrativas mais complexas para contar as aventuras e os desafios encarados por Eragon. “Ousei mais neste segundo livro e usei técnicas que não tinha usado no primeiro, como trocar pontos de vista e trabalhar de maneira mais completa os personagens e suas emoções”, explica o escritor.
"
Coelhoberto Pascoal e os ovos guerreiros no centro da Terra!,William Joyce,,"Depois de Nicolau São Norte, primeiro livro da bem-sucedida série Os Guardiões da Infância, que deu origem ao filme A origem dos Guardiões, William Joyce dá vida (e que vida!) a mais um ícone da infância em Coelhoberto Pascoal e os ovos guerreiros no centro da Terra. Com sua imaginação sem limites, Joyce transforma o bom e velho coelho da Páscoa num Guardião muito especial dos sonhos das crianças.
 

Afinal, além de fazer os mais deliciosos chocolates, Coelhoberto Pascoal é capaz de cruzar a galáxia num segundo e, com seus ovos guerreiros, ele pode finalmente pôr um fim na batalha contra o Rei dos Pesadelos.
"
Brisingr,Christopher Paolini,Rocco,"Primeira palavra da língua antiga aprendida por Eragon, Brisingr tem um significado especial para o jovem Cavaleiro de Dragão, mas Christopher Paolini adianta que sua importância para o protagonista é ainda maior do que o próprio Eragon poderia imaginar. “Brisingr foi uma das primeiras palavras que eu imaginei para este título”, declarou Paolini, “e ela sempre soou certa para mim.” No novo livro, os leitores descobrirão seu real significado para o herói desta saga que conquistou milhões de leitores ao redor do mundo.
"
O Complexo de Atlântida,Eoin Colfer,,"<p class=""description"">Algo terrível aconteceu a Artemis Fowl - ele virou bonzinho. As criaturas diagnosticam o Complexo de Atlântida, uma doença que causa comportamento obsessivo-compulsivo e múltiplas personalidades, causada por ter mexido tanto com magia. Agora, a cidade subaquática de Atlântida está sob o ataque de robôs malignos e o novo Artemis bonzinho não consegue lutar contra eles. A única esperança é que sua aliada, a capitã Holly Short, consiga trazer o verdadeiro Artemis de volta - antes que os misteriosos robôs destruam a cidade e todas as criaturas que vivem lá.</p> Algo terrível aconteceu a Artemis Fowl - ele virou bonzinho. As criaturas diagnosticam o Complexo de Atlântida, uma doença que causa comportamento obsessivo-compulsivo e múltiplas personalidades, causada por ter mexido tanto com magia. Agora, a cidade subaquática de Atlântida está sob o ataque de robôs malignos e o novo Artemis bonzinho não consegue lutar contra eles. A única esperança é que sua aliada, a capitã Holly Short, consiga trazer o verdadeiro Artemis de volta - antes que os misteriosos robôs destruam a cidade e todas as criaturas que vivem lá."
A Maldição dos Titãs,Rick Riordan,Intrínseca,"Nesse terceiro livro da série, um chamado do amigo Grover deixa Percy a postos para mais uma missão: dois novos meios-sangues foram encontrados, e sua ascendência ainda é desconhecida. Como sempre, Percy sabe que precisará contar com o poder de seus aliados heróis, com sua leal espada Contracorrente... e com uma caroninha da mãe. O que eles ainda não sabem é que os jovens descobertos não são os únicos em perigo: Cronos, o Senhor dos Titãs, arquitetou um de seus planos mais traiçoeiros, e os meios-sangues estarão frente a frente com o maior desafio de suas vidas: A Maldição
"
A Colônia Perdida,Eoin Colfer,,"Dez mil anos atrás, humanos e fadas travaram uma grande batalha na ilha mágica da Irlanda. Quando ficou claro que as fadas não poderiam vencer, elas decidiram levar sua civilização para os subterrâneos e se esconderam dos humanos. Todas as famílias de fadas concordaram, menos uma: os demônios. Sua ilha ficou perdida no limbo, mas está lentamente voltando à Terra. Somente uma pessoa pode prever quando e onde será a materialização: Artemis Fowl.
 
"
O Mensageiro,Lois Lowry,,"Há seis anos, Matty chegou ao pacato Vilarejo. Sob os cuidados de Vidente, um cego que tem uma visão especial, ele amadureceu e se adaptou à nova vida. Agora, espera receber seu nome verdadeiro, que determinará seu valor ali, como ocorre com todos os habitantes. 
Contudo, algo nefasto está se infiltrando no Vilarejo, e os moradores, antes orgulhosos de receber forasteiros, passam a exigir que as fronteiras sejam fechadas para se protegerem. 
Por ser um hábil mensageiro, Matty é encarregado de avisar os outros povoados sobre o bloqueio. Sua missão também tem outro grande objetivo: buscar Kira, a filha de Vidente, antes que seja tarde demais. 
Ele é o único capaz de viajar pela Floresta, que já provocou algumas mortes. O problema é que ela também está se tornando um lugar perigoso para o garoto. Mas muitos dependem de Matty. Então, armado apenas de um poder recém-descoberto, ainda incompreensível e incontrolável, ele se arriscará a fazer o que talvez seja sua última viagem.
"
Uma Aventura no Ártico,Eoin Colfer,,"Artemis Fowl – Uma Aventura no Ártico , narra a vida do anti-herói mal-humorado e pessimista criado pelo irlandês Eoin Colfer, numa história que mistura ação, internet e magia. Neste livro, Artemis está ainda mais rico, por conta do ouro que roubou do povo das fadas, mas uma coisa ainda preocupa o astuto criminoso mirim – o desaparecimento de seu pai, o Sr. Fowl, feito prisioneiro pela máfia russa por dois anos e oficialmente dado como morto. Mas o coração de Artemis Jr. se nega a acreditar no fim trágico do pai
"
A vingança de Opala,Eoin Colfer,,"Artemis Fowl está de volta! Sem lembrar de nada sobre o Povo das Fadas, ele se vê às voltas com o diabólico plano de vingança de Opala Koboi. Para piorar, a capitã Holly torna-se fugitiva da LEP, depois de cair em uma arapuca. Só os dois, com a ajuda de Butler e Palha, podem impedir que Opala destrua o mundo das Fadas e dos Homens da Lama. Dessa vez, Ártemis está diante de uma adversária tão esperta quanto ele. Será um plano genial será suficiente para salvá-los?
"
A Escolhida,Lois Lowry,Arqueiro,"Kira, uma órfã de perna torta, vive em um mundo onde os fracos são deixados de lado. A partir do momento da morte de sua mãe, ela teme por seu futuro até que é perdoada pelo Conselho de Guardiões. A razão é que Kira tem um dom: seus dedos possuem a habilidade de bordar de forma extraordinária.
 

Ela supera a habilidade de sua mãe, e lhe cabe a tarefa que nenhum outro membro da comunidade pode fazer. Enquanto seu talento a mantêm viva e traz certos privilégios, ela percebe que está rodeada de misterios e segredos, mas ninguém deve saber sua intenção de descobrir a verdade sobre o mundo.
"
Sete Ossos e uma Maldição,Rosa Amanda Strauz,Rocco,"Este livro de Rosa Amanda Strausz traz onze contos que fazem qualquer um sentir um friozinho cortante percorrer a espinha. Mas o medo aqui não paralisa, pelo contrário, só faz crescer a vontade de chegar à página seguinte, o que exige fôlego. Um prato cheio para quem curte histórias de terror e mistério - e qual é a criança ou o jovem que não curte? - e um bom começo para os iniciantes neste tipo de literatura. Em 'Sete ossos e uma maldição', não há sangue espirrando nem miolos saltando, como informa de antemão a orelha do livro. Nada explícito ou de mau gosto.
 

Nele, a imaginação do leitor se encarrega de formar as cenas macabras forjadas através de um texto elegante. E é exatamente esse terror sugerido, literatura fantástica da melhor qualidade, que o torna tão atraente. O primeiro conto, ""Crianças à venda. Tratar aqui"", pega o leitor de primeira e dá o tom do que virá a seguir. A dúvida é uma constante.
 

Vai ficando cada vez mais difícil dizer exatamente o que é e o que não é, o real e o sobrenatural se misturam numa atmosfera fascinante. O conto que dá nome ao livro também surpreende o leitor ao explicar o que são afinal os sete ossos e a maldição do título, aliás, uma história sinistra, como diriam os jovens leitores.
"
Perdão mortal,Robin LaFevers,V&R Editoras,"Aos dezessete anos, tudo o que Ismae Rienne conhecia era pobreza e homens abusivos: garotos que a atacavam com pedras, um pai violento e um pretendente repulsivo, que a comprou por três moedas de prata. Até que ela é levada para o convento de Saint Mortain, o misterioso Deus da Morte.
 

Lá ela é treinada para se tornar uma habilidosa assassina e descobre que foi abençoada com perigosos dons pelo próprio Mortain. Para provar que merece o título de filha da Morte, Ismae parte em uma importante missão envolvendo a segurança da duquesa da Bretanha e o aniquilamento de seu traidor.
 

Mas, ser uma serva da Morte pode não ser exatamente o que as freiras tinham ensinado no convento. Ismae vai aprender que a independência é conquistada com duras consequências, e que o destino de um país inteiro – e do único homem que ela seria capaz de amar – estão em suas mãos.
 

Estabelecida na França medieval, misturando fantasia com ricos detalhes históricos em estilo “Game of Thrones”, Perdão mortal é o primeiro livro do “Clã das Freiras assassinas”, uma trilogia sofisticada, sombria e emocionante.
"
"Naema, a Bruxa",Wera Krijanowskaia,,"No ano de 1485 uma loucura de destruição varria a Alemanha. O medo da magia e dos sortilégios, flutuava no ar como uma nuvem negra. Por toda parte, o povo perturbado pressentia bruxas e feiticeiros, encantamentos e malefícios. Constantemente, flamejavam fogueiras devorando às centenas as vítimas inocentes ou culpadas, que iníquios processos entregavam aos carrascos, abrindo à perversidade, aos ódios pessoais, um campo vasto e fecundo. Leonor, de deslumbrante beleza e semblante delicado e clássico, é acusada de bruxaria e, condenada à fogueira, livra-se do suplício por meio de um sinistro pacto feito com mestre Leonardo, misterioso personagem possuidor de poderes possuidor de enormes poderes. ´Naema, a Bruxa´, ou a lenda da estátua de cera, sobrevive aos séculos transcorridos e transmite de geração a geração a história de mestre Leonardo, de sua vítima Leonor, e da grande vitória ganha pelo bem contra as forças do abismo.
"
Divina Vingança,Robin LaFevers,V&R Editoras,"Sybella nunca soube ao certo o que era amor. Não sem segunda intenções. Desde sua infância, ela teve de confiar em si mesma para conseguir sobreviver. Ao chegar no convento de Saint Mortain, Sybella recebe o refúgio de que tanto precisava, porém isso terá o seu preço. As irmãs, que servem ao deus da Morte, percebem que a garota tem atributos e que ela pode se tornar uma arma poderosa.
 

Ela vive durante três anos no convento e é treinada para enfrentar quem quer seja. Sybella já não é mais uma garotinha inocente, e sabe disso. Agora é uma mulher madura e totalmente preparada, uma assassina experiente, que mata a quem merece e o faz por gosto e sem piedade. Nunca se arrepende de suas decisões. Pelo contrário, ela sabe onde se encontram seus pontos fortes e como usá-los para cumprir sua missão. Porém, ela é enviada de volta para o lugar onde passou sua infância, para espionar seu pai, o cruel D’Albret.
 

Ela começa a se lembrar de coisas horríveis que aconteceram enquanto estava sob o domínio dele e decide compartilhar com Fera, quem, fora do convento, torna-se seu companheiro. Juntos eles redescobrem a confiança e o amor. Assim, Sybella caminha por uma teia complexa de vingança e ódio, em busca de seus traidores, que levam a marca do deus da Morte. Ambientado da França medieval, Divina Vingança é o segundo livro de O clã das freiras assassinas, uma trilogia de mulheres fortes em busca de seu próprio destino.
"
